SEQDAY,FCOUNT_NLDN,FCOUNT_STRUCTURE,FCOUNT_HAIL,FCOUNT_TVS,FIPS
1987-05-16,232,NULL,NULL,NULL,12057
1987-05-17,38,NULL,NULL,NULL,12057
1987-05-18,406,NULL,NULL,NULL,12057
1987-05-19,314,NULL,NULL,NULL,12057
1987-05-20,8,NULL,NULL,NULL,12057
1987-05-21,2,NULL,NULL,NULL,12057
1987-05-22,8,NULL,NULL,NULL,12057
1987-05-23,0,NULL,NULL,NULL,12057
1987-05-24,0,NULL,NULL,NULL,12057
1987-05-25,0,NULL,NULL,NULL,12057
1987-05-26,0,NULL,NULL,NULL,12057
1987-05-27,0,NULL,NULL,NULL,12057
1987-05-28,0,NULL,NULL,NULL,12057
1987-05-29,0,NULL,NULL,NULL,12057
1987-05-30,0,NULL,NULL,NULL,12057
1987-05-31,0,NULL,NULL,NULL,12057
1987-06-01,0,NULL,NULL,NULL,12057
1987-06-02,0,NULL,NULL,NULL,12057
1987-06-03,3,NULL,NULL,NULL,12057
1987-06-04,93,NULL,NULL,NULL,12057
1987-06-05,489,NULL,NULL,NULL,12057
1987-06-06,55,NULL,NULL,NULL,12057
1987-06-07,0,NULL,NULL,NULL,12057
1987-06-08,0,NULL,NULL,NULL,12057
1987-06-09,0,NULL,NULL,NULL,12057
1987-06-10,0,NULL,NULL,NULL,12057
1987-06-11,60,NULL,NULL,NULL,12057
1987-06-12,3,NULL,NULL,NULL,12057
1987-06-13,59,NULL,NULL,NULL,12057
1987-06-14,0,NULL,NULL,NULL,12057
1987-06-15,1,NULL,NULL,NULL,12057
1987-06-16,3,NULL,NULL,NULL,12057
1987-06-17,44,NULL,NULL,NULL,12057
1987-06-18,33,NULL,NULL,NULL,12057
1987-06-19,875,NULL,NULL,NULL,12057
1987-06-20,170,NULL,NULL,NULL,12057
1987-06-21,0,NULL,NULL,NULL,12057
1987-06-22,2,NULL,NULL,NULL,12057
1987-06-23,1,NULL,NULL,NULL,12057
1987-06-24,0,NULL,NULL,NULL,12057
1987-06-25,29,NULL,NULL,NULL,12057
1987-06-26,115,NULL,NULL,NULL,12057
1987-06-27,519,NULL,NULL,NULL,12057
1987-06-28,173,NULL,NULL,NULL,12057
1987-06-29,207,NULL,NULL,NULL,12057
1987-06-30,211,NULL,NULL,NULL,12057
1987-07-01,339,NULL,NULL,NULL,12057
1987-07-02,417,NULL,NULL,NULL,12057
1987-07-03,90,NULL,NULL,NULL,12057
1987-07-04,308,NULL,NULL,NULL,12057
1987-07-05,556,NULL,NULL,NULL,12057
1987-07-06,417,NULL,NULL,NULL,12057
1987-07-07,340,NULL,NULL,NULL,12057
1987-07-08,1059,NULL,NULL,NULL,12057
1987-07-09,385,NULL,NULL,NULL,12057
1987-07-10,1294,NULL,NULL,NULL,12057
1987-07-11,149,NULL,NULL,NULL,12057
1987-07-12,395,NULL,NULL,NULL,12057
1987-07-13,1761,NULL,NULL,NULL,12057
1987-07-14,227,NULL,NULL,NULL,12057
1987-07-15,959,NULL,NULL,NULL,12057
1987-07-16,253,NULL,NULL,NULL,12057
1987-07-17,316,NULL,NULL,NULL,12057
1987-07-18,213,NULL,NULL,NULL,12057
1987-07-19,50,NULL,NULL,NULL,12057
1987-07-20,319,NULL,NULL,NULL,12057
1987-07-21,54,NULL,NULL,NULL,12057
